"","Adlercreutzia","Alistipes_A","Bruticola","CAG-115","CAG-127","CAG-1427","CAG-791","CAJJNI01","CAJOIG01","Choladousia","Coprococcus","Copromorpha","D16-63","Dethiosulfatibacter","Enterococcus_B","Evtepia","Faecivicinus","Faecivivens","Flavonifractor","Fusicatenibacter","Heteroruminococcus","JAAYOP01","JAAZKA01","JAEDDG01","JAGTTR01","KLE1615","Limivivens","Limosilactobacillus","Longicatena","Luteibacter","Martelella","Marvinbryantia","Mediterraneibacter","Mediterraneibacter_A","NSJ-63","Onthenecus","Pediococcus","Propionicimonas","Protoclostridium","Pullichristensenella","RGIG1902","RGIG2774","RGIG3566","RGIG426","RUG420","RUG626","RUG762","Ruminococcus_E","SIG483","SIG488","SIG565","SIG578","SIG588","SIG598","Scatomorpha","Schneewindia","Streptacidiphilus","Tabaqchalia","UBA10281","UBA11774","UBA1227","UBA1417","UBA1425","UBA1447","UBA1774","UBA3402","UBA6987","UBA738","UMGS1591","UMGS1668","Ventricola","Ventrisoma","Ventrousia","WRMQ01"
"PRISM.7122",0.0101008893013087,2.39183408707998e-06,0,8.26269957354903e-06,6.54492782010068e-05,8.61495150273717e-05,3.34856772191197e-05,0.000165123527793503,1.52207623723272e-06,0.000241923145935017,5.67951875950265e-05,2.03958215789184e-05,1.17417309729381e-06,0,3.26159193692725e-05,0.00402419561967333,1.73951569969453e-06,1.95695516215635e-06,0.00752183983704913,0.000143423069439814,1.60905202221744e-06,0,0,7.8278206486254e-07,2.21353372786129e-05,1.69167901795293e-05,0.000114590596717377,1.48728592323883e-05,0.00104340500456927,0,0,0.000190172553869105,0.000736119556218234,3.89651516731575e-05,1.56556412972508e-06,1.86997937717162e-06,7.3494538312094e-06,0,6.08830494893086e-07,1.7830035921869e-06,6.08830494893086e-07,1.86997937717162e-06,7.8278206486254e-07,4.34878924923633e-07,1.21766098978617e-06,8.69757849847266e-07,3.17461615194252e-06,5.84477275097363e-05,7.39294172370176e-07,7.8278206486254e-07,0,0,4.78366817415996e-07,5.65342602400723e-07,5.64907723475799e-05,2.52229776455707e-06,6.5231838738545e-07,1.43510045224799e-06,2.1309067321258e-06,0.000593131365703343,1.60905202221744e-06,0.000137334764490883,2.34834619458762e-06,6.08830494893086e-07,4.60971660419051e-06,0.000645403812479164,5.2185470990836e-06,4.43576503422106e-06,4.43576503422106e-06,5.69691391649959e-06,1.29593919627243e-05,1.98304789765177e-05,1.60905202221744e-06,1.86997937717162e-06
"PRISM.7147",0.0103373267591548,2.19829884296937e-05,2.37184875162485e-06,8.80707936456992e-05,0.000300623151773017,8.60229047235646e-05,0.000299952092126215,2.89134147820024e-05,4.30403773465582e-06,0.000350015455776365,0.0197293271658632,0.000710987695785846,3.62140809394428e-06,5.95854686383803e-06,2.34870876380412e-06,0.00234620964511948,5.36153517806319e-05,5.48070611533995e-05,0.00452098669046908,0.0175163228606338,1.48095922052673e-06,7.98329579815192e-07,4.82468746062225e-06,2.74208855675653e-06,4.18139579920595e-05,0.00253287992686931,0.00136397501209903,1.01006046837487e-05,0.000486946333705536,1.02972945802249e-06,6.36349665070081e-07,0.000301629741243218,0.00472877221110532,8.08048374699899e-05,1.51566920225783e-06,2.84621850194982e-06,1.35368928751272e-06,6.94199634621906e-07,3.65611807567537e-06,2.45168170960637e-05,2.91563846541201e-06,3.06604838624675e-06,2.40655873335594e-06,2.63795861156324e-06,5.77342696127219e-06,5.85441691864474e-06,9.68408490297559e-06,0.0198492270127563,3.73710803304793e-06,2.16358886123827e-06,1.02972945802249e-06,3.47099817310953e-07,5.4378971378716e-07,1.04129945193286e-06,0.000115584239164547,7.86759585904827e-07,1.83962903174805e-06,1.02972945802249e-06,1.01584546533006e-05,0.0130319089209154,3.6792580634961e-06,0.000647965938956087,7.33537613917148e-06,1.33054929969199e-06,4.98666737536736e-06,0.000148489301845626,1.07022443670877e-05,5.30021421033825e-05,4.33874771638691e-06,4.46023265244575e-05,0.00227872187064032,1.76442407133068e-05,2.79993852630836e-06,1.01815946411213e-06
"PRISM.7150",0.00911645767227159,6.99130097932421e-05,5.69906999262448e-07,1.31211146341819e-05,4.53142332669374e-05,2.5539785757645e-05,2.5871127036286e-05,1.4181406725833e-06,3.02183246120554e-06,0.000260911376453036,6.43597299632197e-05,0.00628693568918926,4.47973408722575e-06,1.85551116038936e-07,2.92905690318607e-06,0.00893436575918166,8.56185864008235e-06,5.1556702956533e-06,0.00231649965453696,0.00110361827724616,2.45192546194309e-06,2.51819371767128e-07,6.09667952699363e-07,3.04833976349681e-07,1.53079670732123e-05,7.6181986785129e-05,7.83290782707224e-05,1.66863467923586e-05,4.34719757576937e-06,1.21933590539873e-06,4.24116836660426e-07,9.1317656393448e-05,0.00204538296670178,4.46382970585098e-05,4.63745253585885e-05,2.30613529934107e-06,2.35914990392362e-06,9.14501929049044e-07,2.43337035033919e-05,6.44657591723848e-05,1.32536511456383e-06,1.25909685883564e-06,2.70374483371022e-06,1.74948195122426e-06,4.30743662233245e-06,1.32536511456383e-06,4.4267194826432e-06,0.000145776908950876,1.32536511456383e-06,5.16892394679894e-07,0,1.5904381374766e-07,5.43399696971171e-07,1.61694543976787e-06,0.000243429810591939,6.08342587584799e-06,3.47245660015724e-06,2.77001308943841e-06,9.82095549891799e-06,0.000159852286467544,4.02910994827405e-06,0.000566447796313436,2.00130132299139e-06,9.94023835922874e-07,5.14241664450767e-06,8.41871920770946e-05,3.71102232077873e-06,1.03113405913066e-05,0.000312627123223317,5.43399696971171e-06,4.0675455365964e-05,0.00311732501770986,2.27962799704979e-06,1.45790162602021e-06
"PRISM.7153",8.70687436754232e-06,2.2035916609212e-06,8.06192071068733e-07,6.98699794926236e-06,0.000397775167865313,6.12705974012237e-06,2.72492920021232e-05,2.75717688305507e-05,0,0.000231914585777439,0.000303289457136058,3.67623584407342e-05,1.71987641827996e-06,0,4.63291710174165e-05,1.98860710863621e-05,5.37461380712489e-07,9.13684347211231e-07,0.00633914200095152,0.00873041517601753,6.98699794926236e-07,6.98699794926236e-07,0,0,4.82102858499103e-05,0.00903526327115765,0.000144684603687802,1.63925721117309e-05,0.00225040454718126,0,0,0.000498602922886976,0.0233811824451354,0.000142212281336525,0,0,8.33065140104358e-06,0,6.98699794926236e-07,1.98860710863621e-06,0,0,0,0,2.3110839370637e-06,0,2.68730690356244e-06,0.00140836380201901,6.44953656854987e-07,7.52445932997484e-07,0,0,1.71987641827996e-06,0,4.8801493368694e-05,0,0,0,2.24121395757108e-05,9.49694259718968e-05,1.01042739573948e-05,3.42900360894568e-05,1.34365345178122e-06,1.12866889949623e-06,1.77362255635121e-06,0.000102708869854157,3.92346807920117e-06,3.11727600813244e-06,1.66613028020872e-06,1.34365345178122e-05,4.60604403270603e-05,1.30065654132422e-05,1.88111483249371e-06,8.06192071068733e-07
"PRISM.7184",0.00316051167931444,0.000613586788348328,0,1.55777811736588e-05,7.38674677935724e-05,2.18004274577019e-05,3.25101520145923e-05,1.06250627026858e-05,2.41286284483302e-06,0.000376533596575259,0.00012932098229763,7.93281573897734e-05,8.46618542046675e-07,0,2.74304407623123e-05,0.00298322975660987,4.57174012705204e-06,4.82572568966605e-06,0.00343794857554314,0.00563433105917483,3.0054958242657e-06,8.46618542046675e-07,0,5.92632979432672e-07,0.000173556801119568,4.70719909377951e-05,0.000140200030562929,1.66360543512172e-05,5.88823195993462e-05,1.73556801119568e-06,1.43925152147935e-06,0.000219570518879805,0.00433070782813136,5.46492268891129e-05,0.000170889952712121,2.37053191773069e-06,8.16986893075041e-06,5.07971125228005e-07,4.23309271023337e-06,2.75151026165169e-06,9.31280396251342e-07,2.96316489716336e-06,1.05827317755834e-06,2.49752469903769e-06,6.09565350273606e-06,2.20120820932135e-06,5.24903496068938e-06,0.0361940432766,1.65090615699102e-06,1.90489171960502e-06,8.04287614944341e-07,9.31280396251342e-07,7.19625760739674e-07,1.35458966727468e-06,8.10637254009691e-05,1.69323708409335e-06,1.14293503176301e-06,3.55579787659603e-06,5.24903496068938e-06,0.00501879704817979,2.87850304295869e-06,0.000393846945760113,5.46068959620105e-06,5.58768237750805e-06,4.40241641864271e-06,0.000258007000688724,4.52940919994971e-06,1.44771770689981e-05,4.95271847097305e-06,1.18949905157558e-05,3.0308943805271e-05,1.36728894540538e-05,1.90489171960502e-06,4.27542363733571e-06
"PRISM.7238",4.10196436432132e-06,8.47739301959739e-06,5.07862254630258e-07,2.46117861859279e-06,3.93007252429261e-05,3.98476538248357e-06,1.08995053109109e-05,7.18820421938212e-06,9.76658181981266e-07,0.00023615594840307,3.45346333148576e-05,6.3287450192386e-06,0,0,0.000122238538056775,0.000270846847027045,0,0,0.0179645724667088,0.00124238734013473,0,4.68795927351008e-07,0,4.68795927351008e-07,4.60982661895158e-06,1.44545410933227e-05,0.000101259920307818,0.000433519033817844,4.14103069160057e-05,3.90663272792506e-07,5.07862254630258e-07,0.000116222323655771,0.0029996298074827,1.19933624747299e-05,1.36732145477377e-06,1.56265309117003e-06,0.0633791388625104,0,4.29729600071757e-07,1.36732145477377e-06,0,0,0,0,1.36732145477377e-06,0,3.75036741880806e-06,4.02383170976282e-05,5.07862254630258e-07,0,0,0,0,0,2.88700158593662e-05,0,0,0,0,2.53540464042337e-05,0,6.75847461931036e-06,0,7.42260218305762e-07,6.64127563747261e-07,8.65319149235402e-05,1.09385716381902e-06,1.28918880021527e-06,3.59410210969106e-06,8.59459200143514e-07,1.21886941111262e-05,0.000237171672912331,1.21105614565677e-06,0
"PRISM.7406",3.65951990547473e-06,1.25292037441677e-06,0,3.29977049103823e-06,0.000103372133465495,4.18053629879655e-06,3.83815409747078e-05,2.18702833672947e-05,0,5.11464426110925e-05,0.00174431326423258,1.15864121752996e-05,0,0,0.00451831618864798,4.25496721212824e-06,0,3.22533957770654e-07,2.60632248183132e-05,6.14799344119754e-05,0,0,0,0,0.000398292222390091,8.90689929535882e-05,0.00010340934892216,1.62135339540863e-05,2.84077985882614e-06,0,0,4.33187915590432e-05,0.00295870323584798,0.000119622882876247,0,6.07852458875463e-07,2.79115924993835e-06,0,3.10128805548705e-07,4.34180327768188e-07,0,1.73672131107275e-07,0,0,2.48103044438964e-07,0,7.98891803093465e-06,5.52649531487793e-05,0,0,0,0,3.51065807881135e-06,7.2818243542836e-06,2.37062458961431e-05,0,1.73672131107275e-07,0,8.80765807758324e-07,1.36084519874772e-05,6.57473067763256e-07,7.21979859317386e-06,0,0,0,0.000108011660396503,3.59749414436498e-07,5.33421545543773e-07,0,1.67469554996301e-06,3.15090866437485e-06,1.47125105352306e-05,0,1.86077283329223e-07
"PRISM.7408",2.08358621672271e-05,3.06053743037277e-05,2.71718415933015e-07,7.05109289346173e-05,5.04284678297499e-05,5.00208902058504e-06,1.59819831916964e-05,1.04488081763332e-05,2.47016741757286e-07,0.0013794279418323,7.82672546257961e-05,2.71594907562136e-05,1.23508370878643e-07,1.14862784917138e-06,5.82959510547195e-06,0.00158383429563645,6.54594365656808e-07,3.95226786811658e-07,0.00466324380507948,0.00558858087053937,4.81682646426708e-07,0,4.56980972250979e-07,0,1.14492259804502e-05,3.31619975809156e-05,8.24418375614942e-05,0.00861060839087218,3.18651596866899e-06,9.26312781589823e-07,5.18735157690301e-07,0.000101560933373508,0.0173376110704604,3.82628932982036e-05,0,2.47016741757286e-07,9.11491777084385e-06,0,4.32279298075251e-07,1.06217198955633e-06,3.21121764284472e-07,1.48210045054372e-07,1.85262556317964e-07,2.84069253020879e-07,2.19844900163985e-06,3.458234384602e-07,4.61921307086125e-06,0.00013399423156624,2.96420090108743e-07,0,0,0,0,2.22315067581557e-07,2.12557906282145e-05,1.60560882142236e-07,1.97613393405829e-07,0,2.03788811949761e-06,4.34996482234581e-05,1.00041780411701e-06,2.47634283611679e-05,3.458234384602e-07,1.48210045054372e-07,6.17541854393215e-07,5.84071085885103e-05,9.13961944501958e-07,1.88967807444324e-06,6.29892691481079e-07,1.76616970356459e-06,3.57309716951914e-05,1.20297153235798e-05,5.43436831866029e-07,5.18735157690301e-07
"PRISM.7421",1.92435332854754e-05,2.06974891337113e-05,0,7.14148901927642e-06,0.000659197923545784,1.56086436648856e-05,3.07468898494596e-05,4.46022338150018e-05,7.26977924117959e-07,0.000361008684435518,0.000184310285467553,3.07468898494596e-05,8.98031553322184e-07,0,3.04475459983522e-05,3.70758741300159e-05,8.98031553322184e-07,2.86514828917078e-06,0.00574111572038872,0.0314841309913298,1.79606310664437e-06,0,0,0,2.72402904507729e-05,4.00693126410898e-05,0.000220701945080752,0.000400222728930587,0.000642391904476469,6.84214516816902e-07,5.55924294913733e-07,0.00023844875911069,0.00281079599849114,0.00013034286545362,1.62500947744014e-06,4.14805050820247e-06,3.39541453970388e-05,0,8.12504738720072e-07,2.09540695775176e-06,0,9.83558367924297e-07,9.40794960623241e-07,0,1.3684290336338e-06,6.84214516816902e-07,6.88490857547008e-06,0.0127912621016701,5.9868770221479e-07,0,0,0,0,1.58224607013909e-06,4.6996984623861e-05,1.32566562633275e-06,4.7039748031162e-07,7.26977924117959e-07,2.86514828917078e-06,0.000143171887643937,6.84214516816902e-06,7.31681898921075e-05,9.40794960623241e-07,2.90791169647183e-06,1.19737540442958e-06,0.000134448152554521,2.56580443806338e-06,6.6710915389648e-06,4.44739435930987e-06,3.46383599138557e-06,7.14148901927642e-06,2.28356594987641e-05,3.42107258408451e-06,1.58224607013909e-06
"PRISM.7445",4.43072567404513e-06,7.97530621328124e-06,0,4.33744723880208e-06,0.000178395007402343,6.38957281414929e-06,0.000105404631824653,1.04471847472222e-05,0,0.00045184074031736,0.000148032876730729,2.20603499349826e-05,0,0,0.00589160588760424,1.3432094675e-05,0,2.79835305729166e-06,0.00056265552138611,0.000871360502823002,0,0,0,0,7.60219247230901e-05,8.79149252165797e-05,0.000419286566417534,0.000806112237370485,1.35720123278646e-05,0,0,0.000286411435413802,0.00419678335845555,0.000141270190175607,3.73113740972222e-06,0,1.16131651877604e-05,0,0,2.42523931631944e-06,0,0,0,0,0,0,2.14540401059027e-06,0.000143695429491927,9.32784352430554e-07,0,8.39505917187499e-07,0,0,6.52949046701388e-07,1.97283890539062e-05,0,0,0,0,3.73580133148437e-05,2.1920432282118e-06,0.000187536294056163,0,1.07270200529514e-06,0,0.000185344250827951,4.29080802118055e-06,1.11934122291666e-06,5.59670611458332e-07,3.91769428020833e-06,1.48312712036458e-05,2.45788676865451e-05,4.66392176215277e-07,0
