"","Adlercreutzia","Alistipes_A","Bruticola","CAG-115","CAG-127","CAG-1427","CAG-791","CAJJNI01","CAJOIG01","Choladousia","Coprococcus","Copromorpha","D16-63","Dethiosulfatibacter","Enterococcus_B","Evtepia","Faecivicinus","Faecivivens","Flavonifractor","Fusicatenibacter","Heteroruminococcus","JAAYOP01","JAAZKA01","JAEDDG01","JAGTTR01","KLE1615","Limivivens","Limosilactobacillus","Longicatena","Luteibacter","Martelella","Marvinbryantia","Mediterraneibacter","Mediterraneibacter_A","NSJ-63","Onthenecus","Pediococcus","Propionicimonas","Protoclostridium","Pullichristensenella","RGIG1902","RGIG2774","RGIG3566","RGIG426","RUG420","RUG626","RUG762","Ruminococcus_E","SIG483","SIG488","SIG565","SIG578","SIG588","SIG598","Scatomorpha","Schneewindia","Streptacidiphilus","Tabaqchalia","UBA10281","UBA11774","UBA1227","UBA1417","UBA1425","UBA1447","UBA1774","UBA3402","UBA6987","UBA738","UMGS1591","UMGS1668","Ventricola","Ventrisoma","Ventrousia","WRMQ01"
"CSM5MCVN",0,1.06901599050663e-05,0,1.08174237134599e-06,2.92706759305386e-05,1.08810556176568e-05,5.66323947351726e-06,1.43171784442852e-05,0,0.000231620131276436,1.59079760492058e-05,2.41801235947928e-06,0,0,0,1.10719513302472e-05,0,0,0.00545459045965588,1.02447365756885e-05,0,0,0,0,3.75428234761257e-06,2.35438045528246e-06,1.03083684798854e-05,1.20900617973964e-06,0,0,0,1.46989698694661e-05,4.58786029259095e-05,4.70876091056491e-06,0,8.90846658755524e-07,0,0,0,0,0,0,0,0,0,0,0,1.12628470428377e-05,1.27263808393646e-06,0,0,0,1.20900617973964e-06,0,1.01174727672949e-05,0,1.08174237134599e-06,0,3.3088590182348e-06,6.17229470709185e-06,0,4.00880996439986e-06,0,1.52716570072376e-06,0,0.000254209457266309,0,7.63582850361878e-07,0,6.99950946165055e-07,1.39990189233011e-06,5.98139899450138e-06,0,0
"CSM5MCWE",0,3.21635630307127e-06,0,2.66181211288656e-06,0.000304888395763549,1.44181489448022e-06,3.31617425730451e-05,1.84108671141321e-05,0,0.000267456662926081,0.00020152135871312,1.53608740681162e-05,0,0,0.000102091585413003,2.66735755478841e-05,1.16454279938787e-06,1.05363396135093e-06,0.00812102239315985,0.0515259725207826,1.38636047546175e-06,0,0,0,4.31989924153882e-05,0.000136806051718566,0.000212556788097796,9.6490689092138e-05,1.55272373251716e-06,0,9.42725123313992e-07,0.000303779307383179,0.000556984184621514,4.94653417644753e-05,1.33090605644328e-06,4.57498956902378e-05,2.10726792270186e-06,2.55090327484962e-06,0,1.71908698957257e-06,0,0,1.71908698957257e-06,0,9.42725123313992e-07,0,5.3790786447916e-06,5.88925929976152e-05,0,0,0,0,0,0,3.76535505135412e-05,0,0,0,1.1090883803694e-06,5.08517022399371e-05,0,3.82635491227444e-05,0,0,9.42725123313992e-07,0.000484560713383392,5.43453306381007e-06,4.65817119755149e-06,3.27181072208974e-06,7.0427112153457e-06,5.71180515890242e-06,1.71908698957257e-05,0,0
"CSM5MCX3",1.44853840796792e-05,0.000421530269531052,0,6.02345893969673e-05,0.000254752604181231,4.09393866653483e-05,2.25390339154854e-05,1.50446653182769e-05,2.18119683053085e-06,0.000219182317406421,0.000166050599739643,1.6442868414771e-05,6.15209362457419e-07,0,1.23041872491484e-06,7.84671577752508e-05,6.71137486317184e-07,1.78969996351249e-06,0.000394125488839767,0.000887579325654476,2.12526870667108e-06,0,0,0,8.9876495042643e-05,0.000177795505750194,0.00035044562410529,9.06035606528199e-06,5.20131551895818e-06,0,0,0.000327403237075066,0.00527066639254429,8.74156575928133e-05,5.59281238597654e-07,5.59281238597654e-07,0,0,1.2863468487746e-06,1.4541312203539e-06,1.34227497263437e-06,8.94849981756246e-07,1.00670622947578e-06,0,9.50778105616011e-07,1.73377183965273e-06,4.3623936610617e-06,7.18117110359387e-05,1.4541312203539e-06,0,0,0,3.02011868842733e-06,0,0.000143455637700298,0,6.15209362457419e-07,0,5.98430925299489e-06,1.39261028410816e-05,4.80981865193982e-06,9.58048761717781e-05,2.85233431684803e-06,0,1.78969996351249e-06,0.000279752475546546,2.68454994526874e-06,1.27516122400265e-05,8.94849981756246e-07,6.54359049159255e-06,1.55480184330148e-05,8.7247873221234e-06,0,1.11856247719531e-06
"CSM5MCXL",5.75991002714702e-06,1.97773901817083e-05,0,3.72100382284719e-06,6.06064869228124e-05,7.02403187381291e-05,1.02964763317141e-05,2.75252337580477e-06,5.60699206182453e-07,5.75991002714702e-05,4.69967880091111e-05,4.37855107373388e-05,0,0,0,9.5522755671447e-05,6.62644516397444e-07,1.01945310214991e-06,0.00941383383587274,0.00139925035535587,5.60699206182453e-07,0,0,8.66535136827427e-07,1.96754448714933e-05,1.67190308752586e-05,3.78217100897618e-05,5.09726551074957e-07,1.58015230833237e-06,0,0,7.57963381448461e-05,0.000465737149717188,1.01435583663916e-05,6.11671861289949e-07,5.09726551074957e-07,0,0,6.52449985375945e-06,1.47820699811738e-06,0,1.98793354919233e-06,9.17507791934923e-07,0,8.15562481719932e-07,1.1723710674724e-06,1.01945310214991e-06,0.000828662454082558,7.1361717150494e-07,1.07042575725741e-06,0,0,0,9.68480447042419e-07,2.85446868601976e-05,1.03984216419291e-05,0,0,0,4.8220131731691e-05,3.5171132024172e-06,2.65057806558978e-05,6.62644516397444e-07,0,1.63112496343986e-06,9.08842440566649e-05,1.12139841236491e-06,4.7914295801046e-06,3.21127727177223e-06,4.02683975349216e-06,4.91376395236259e-05,5.70893737203952e-06,2.19182416962232e-06,9.17507791934923e-07
"CSM5MCY8",2.8331495374216e-05,8.67167654767037e-05,0,5.59740790068097e-06,5.76963583608654e-05,5.56296231359986e-05,5.07211269769399e-05,3.91818553047668e-06,1.55005141865012e-06,8.14638134468338e-05,3.16468831307732e-05,6.4456304825534e-05,0,0,1.8342275120693e-05,0.000313110386567323,7.83637106095336e-06,2.18729477965072e-05,0.0017954331696192,0.000964519495255034,1.89450728946125e-06,6.02797773919489e-07,7.31968725473666e-07,8.61139677027842e-07,8.1377699479131e-06,2.53605634884699e-05,3.13454842438134e-05,3.92679692724696e-05,0.00020288450790776,0,0,3.78470888053737e-05,0.00263396793012506,1.29170951554176e-05,1.0764245962848e-05,9.94616326967157e-06,5.59740790068097e-07,0,4.69321123980174e-06,1.70936225890027e-05,1.37782348324455e-06,2.36813411182657e-06,1.59310840250151e-06,1.46393745094733e-06,2.88481791804327e-06,1.29170951554176e-06,3.61678664351694e-06,0.00119035337555559,1.89450728946125e-06,2.10979220871821e-06,4.73626822365313e-07,0,1.37782348324455e-06,7.75025709325058e-07,0.000507727953575616,4.04735648203086e-06,1.76533633790708e-06,1.20559554783898e-06,6.15714869074907e-06,0.000119483130187613,1.59310840250151e-06,4.13347044973364e-05,2.45424807952935e-06,0,4.09041346588225e-06,5.59310220229583e-05,3.2723307727058e-06,1.30032091231204e-05,3.65123223059805e-05,6.80300344851995e-06,0.000197588498894038,0.000163530424667587,9.2572515280493e-06,9.47253644730626e-07
"CSM5MCZ3",7.412395144196e-06,0.000252831192355391,0,1.23955179302101e-05,5.31948357407007e-05,5.60601313426588e-06,4.67167761188824e-05,2.56630823479727e-05,6.78950479594424e-06,0.0001237060231628,3.97404042184626e-05,3.73734208951059e-05,0,0,1.15234714426576e-05,0.00066013919107722,6.1043254128673e-06,6.29119251734282e-06,0.00965162365712627,0.00335744126611184,5.79288023874141e-06,9.96624557202824e-07,1.12120262685318e-06,1.058913592028e-06,1.38904547660144e-05,1.81261091341264e-05,0.00137739742708913,0,0.000320913107419309,2.117827184056e-06,0,7.25044365365054e-05,0.00300258063471281,1.8001531064476e-05,1.93096007958047e-06,4.48481050741271e-06,0,6.85179383076941e-07,0.00275927966468567,8.90733198000024e-06,5.29456796014e-06,1.55722587062941e-06,3.36360788055953e-06,2.24240525370635e-06,9.90395653720306e-06,3.55047498503506e-06,7.03866093524494e-06,0.00011660507319273,3.05216270643365e-06,2.49156139300706e-06,6.85179383076941e-07,9.34335522377647e-07,2.30469428853153e-06,1.61951490545459e-06,0.000283415108454553,1.74409297510494e-06,2.55385042783224e-06,1.30806973132871e-06,3.47572814324485e-05,1.42018999401402e-05,6.22890348251765e-06,0.000948101399074011,3.92420919398612e-06,1.61951490545459e-06,7.78612935314706e-06,0.000208045376316089,8.28444163174847e-06,1.76900858903501e-05,1.23332288953849e-05,5.10770085566447e-06,2.74071753230777e-05,5.69944668650365e-05,5.97974734321694e-06,2.05553814923082e-06
"CSM5MCZF",5.45804166588742e-06,0.0019660187141801,0,2.61664938688132e-05,0.000154671268973016,4.42261905574113e-05,0.000205800276931402,1.25213897040947e-05,6.26069485204734e-06,0.000296821148241937,0.000386477509135999,5.87542132269058e-05,0,0,0,0.000235739240775167,3.05008210740768e-06,6.58175612651131e-06,0.00880478439089981,0.00340621932610683,6.10016421481536e-06,0,0,9.63183823391898e-07,6.96702965586807e-05,0.000158202942992119,0.000131394326574378,0,1.84610232816781e-06,0,0,0.000119113732826131,0.00031817172299379,4.24603535478595e-05,3.7724699749516e-06,1.20397977923987e-06,1.04344914200789e-06,0,4.7115742027587e-05,5.93963357758337e-06,9.63183823391898e-06,2.08689828401578e-06,3.21061274463966e-06,1.76583700955181e-06,3.45140870048764e-06,4.25406188664755e-06,2.8895514701757e-06,0.00294991098977492,3.53167401910363e-06,3.21061274463966e-06,0,0,0,8.02653186159915e-07,0.00142230144587537,3.05008210740768e-06,1.60530637231983e-06,4.81591911695949e-06,9.31077695945502e-06,0.000967116824004082,6.18042953343135e-06,7.52086035431841e-05,3.93300061218359e-06,0,7.94626654298316e-06,0.000190790662350212,1.03542261014629e-05,3.7885230386748e-05,7.94626654298316e-06,7.30414399405523e-06,8.86931770706706e-05,1.28424509785586e-05,7.14361335682325e-06,2.16716360263177e-06
"CSM67UA2",3.80171412383732e-05,7.20113045679238e-05,0,3.6206801179403e-06,3.23179225342079e-05,1.67624079534273e-05,7.1743106040669e-06,2.78926468345031e-05,1.27394300446048e-06,2.41378674529353e-05,2.86301927844539e-05,2.16570310758281e-05,0,0,0,8.54882805624794e-05,5.49806980872416e-06,0,0.00954223540119985,0.00167838638356077,1.27394300446048e-06,0,0,0,7.57660839494915e-06,1.34099263627419e-05,4.27776650971465e-05,9.3869484539193e-07,0.000107078262006494,0,0,3.16474262160708e-05,0.00143834870166769,1.38792737854378e-05,0,1.20689337264677e-06,0,0,0,8.71645213578221e-07,0,0,9.3869484539193e-07,1.00574447720564e-06,1.27394300446048e-06,1.13984374083306e-06,2.1455882180387e-06,2.68869023572974e-05,9.3869484539193e-07,2.27968748166612e-06,0,0,7.37545949950802e-07,8.04595581764512e-07,2.3065073343916e-05,0,1.94443932259757e-06,0,0,0.000235545356561561,1.20689337264677e-06,8.52871316670382e-05,8.04595581764512e-07,0,1.4080422680879e-06,8.1197104126402e-05,1.13984374083306e-06,5.16282164965562e-06,7.84480692220399e-06,2.54788600892095e-06,7.37545949950802e-06,2.48083637710724e-06,1.20689337264677e-06,1.54214153171531e-06
"CSM67UAQ",5.22318126853077e-06,0.000202036162849136,1.44844522572702e-06,0.000882673742102133,0.000897202086638971,0.000201948378290001,7.15444156950013e-05,0.000386427629312142,5.39875038680071e-06,0.000334722523981644,0.0196228775339562,5.64454715237863e-05,0,3.99419744064118e-06,2.85299817188656e-06,8.25174855868727e-05,5.57431950507066e-05,4.76670156102892e-05,0.000403808972020866,0.00113628333344306,2.09805096332581e-05,5.26707354809826e-07,1.66790662356445e-06,1.09730698918714e-06,0.000177588163130046,0.00155308442021591,0.00041561599522452,2.58964449448164e-06,0,1.71179890313193e-06,7.90061032214739e-07,0.000263441461964048,0.00204656531939315,4.91593531155837e-05,1.74691272678592e-05,3.73084376323627e-06,0,0,1.42649908594328e-05,4.20926961052186e-05,1.18509154832211e-06,4.03808972020866e-06,5.4426426663682e-06,1.93126030096936e-06,4.47701251588352e-06,5.04761215026083e-06,8.86624047263207e-06,0.00110389083112226,2.94078273102153e-06,2.01904486010433e-06,9.65630150484681e-07,0,1.18509154832211e-06,2.01904486010433e-06,0.000586839777817281,1.09730698918714e-06,1.97515258053685e-06,1.58012206442948e-06,0.000432821768814974,0.000916207443691692,6.36438053728539e-06,0.000307597095208938,6.23270369858294e-06,1.22898382788959e-06,8.91013275219955e-06,0.000604396689644275,6.49605737598785e-06,2.96272887080527e-05,6.00007461687526e-05,1.01830088596566e-05,0.00172395706457213,1.11925312897088e-05,1.09291776123039e-05,2.06293713967182e-06
"CSM67UBZ",5.85835819880924e-05,0.000113156035840063,6.33336021492891e-07,6.21197081080944e-05,0.000117325497981558,2.79723409492694e-06,2.24306507612066e-05,3.06112410388231e-06,1.58334005373223e-06,7.63697685916845e-05,0.000214489799278926,4.31724054650988e-05,0,0,0,0.00169142940140035,1.7733408601801e-05,1.6361180555233e-06,0.00155468159875967,0.00258511930572861,2.16389807343404e-06,0,5.27780017910743e-07,7.3889202507504e-07,1.02917103492595e-05,0.000475846464148326,3.65223772394234e-05,1.10833803761256e-06,0.000211323119171461,0,0,0.000106769897623343,0.000687169583319787,3.90029433236039e-05,1.56750665319491e-05,7.3889202507504e-07,0,0,6.59725022388428e-06,5.27780017910743e-06,1.58334005373223e-06,0,1.05556003582149e-06,0,2.74445609313586e-06,1.26667204298578e-06,3.11390210567338e-06,0.00519588872032768,0,0,0,0,6.86114023283965e-07,6.33336021492891e-07,0.000811567333541349,3.37779211462875e-06,0,0,2.90279009850908e-06,0.000128461656359475,1.31945004477686e-06,0.000805339529330002,8.97226030448263e-07,0,4.11668413970379e-06,4.66029755815186e-05,1.79445206089653e-06,1.15583823922453e-05,3.64168212358412e-06,6.70280622746643e-06,1.46722844979186e-05,1.14528263886631e-05,2.21667607522512e-06,0
